lead_id,source,industry,company_size,website_visits,pages_viewed,demo_requested,email_opens,days_since_signup,sales_touchpoints,converted
35,Paid Search,Healthcare,Mid-Market,4,4,0,2,60,0,0
36,Organic,Healthcare,Enterprise,6,2,0,2,52,0,0
37,Organic,SaaS,Mid-Market,4,6,0,2,17,3,0
38,Organic,Finance,Enterprise,3,2,0,1,6,2,0
39,Paid Search,SaaS,Mid-Market,6,2,0,4,9,0,1
40,Referral,Retail,Mid-Market,8,5,0,2,30,1,1
41,Webinar,Healthcare,Mid-Market,6,5,0,4,19,0,0
42,Webinar,Retail,Enterprise,2,6,1,3,20,1,0
43,Paid Search,Manufacturing,Enterprise,6,4,1,3,36,2,0
44,Organic,Finance,Mid-Market,2,3,0,3,44,2,0
45,Paid Search,Manufacturing,Enterprise,1,7,0,3,27,0,0
46,Paid Search,Finance,Mid-Market,2,4,0,6,9,2,0
47,Referral,Healthcare,SMB,9,7,0,2,7,2,0
48,Paid Search,SaaS,Enterprise,2,6,0,3,19,1,1
49,Referral,Manufacturing,Mid-Market,6,8,0,4,16,1,0
50,Organic,Retail,Enterprise,6,10,0,3,49,3,0
51,Organic,Manufacturing,SMB,4,6,1,3,28,3,1
52,Webinar,SaaS,Mid-Market,4,2,0,3,46,4,0
53,Outbound,Healthcare,SMB,3,7,0,1,6,2,1
54,Webinar,Manufacturing,SMB,2,6,0,5,31,0,0
55,Webinar,Retail,SMB,4,5,0,3,10,1,0
56,Webinar,Finance,Enterprise,6,9,0,2,54,0,0
57,Paid Search,Finance,SMB,4,6,0,7,14,0,0
58,Webinar,Finance,SMB,8,1,0,2,32,2,1
59,Referral,SaaS,Enterprise,4,8,0,8,29,0,0
60,Paid Search,Manufacturing,SMB,2,4,0,3,37,2,0
61,Paid Search,Retail,Mid-Market,2,3,0,2,56,1,0
62,Outbound,Retail,Enterprise,3,6,0,2,48,0,1
63,Organic,Manufacturing,Mid-Market,2,6,0,3,42,3,1
64,Webinar,SaaS,Mid-Market,1,6,0,2,45,1,1
65,Outbound,SaaS,Enterprise,1,6,0,4,16,1,1
66,Paid Search,Retail,SMB,2,4,0,1,20,3,0
67,Webinar,Finance,Mid-Market,5,8,0,5,51,2,0
68,Paid Search,SaaS,SMB,5,8,0,5,7,5,0
69,Referral,Retail,Enterprise,2,6,1,2,20,0,0
70,Referral,Manufacturing,Mid-Market,3,5,0,5,20,1,0
71,Organic,SaaS,Enterprise,5,9,1,4,37,0,1
72,Paid Search,SaaS,SMB,7,4,0,2,9,0,1
73,Paid Search,Manufacturing,Enterprise,4,11,0,3,28,2,0
74,Paid Search,Finance,Enterprise,2,10,0,5,8,4,0
75,Referral,Manufacturing,Mid-Market,5,3,0,5,60,2,0
76,Referral,Manufacturing,Enterprise,3,7,0,3,18,0,1
77,Referral,SaaS,SMB,3,8,1,0,46,3,1
78,Paid Search,SaaS,Mid-Market,6,8,0,7,22,3,0
79,Referral,Manufacturing,Enterprise,5,8,0,3,33,4,0
80,Paid Search,Retail,SMB,5,4,0,6,11,0,0
81,Organic,Finance,Mid-Market,3,4,1,4,18,3,0
82,Paid Search,SaaS,SMB,6,7,0,3,16,4,1
83,Referral,Healthcare,SMB,5,3,0,4,30,1,0
84,Organic,Manufacturing,Mid-Market,6,5,0,2,17,2,0
85,Referral,SaaS,Enterprise,4,6,0,1,3,2,0
86,Paid Search,SaaS,SMB,2,9,0,1,44,5,1
87,Organic,Healthcare,SMB,6,5,0,5,40,3,1
88,Paid Search,Finance,Mid-Market,4,3,0,1,33,3,0
89,Paid Search,Retail,Mid-Market,1,10,0,1,15,3,1
90,Organic,Healthcare,SMB,2,7,0,2,17,2,0
91,Webinar,Healthcare,SMB,1,6,0,3,41,3,0
92,Webinar,Retail,Enterprise,3,8,0,5,46,3,0
93,Organic,Manufacturing,SMB,4,8,0,2,3,0,0
94,Referral,SaaS,Mid-Market,9,4,0,5,20,1,1
95,Organic,SaaS,Enterprise,4,7,0,4,11,4,0
96,Paid Search,Retail,SMB,5,6,0,5,19,3,1
97,Webinar,Manufacturing,SMB,7,2,0,4,46,3,0
98,Referral,SaaS,Mid-Market,2,3,0,3,50,0,0
99,Organic,Manufacturing,Mid-Market,6,6,0,6,9,1,0
100,Organic,Healthcare,Mid-Market,2,4,0,2,35,3,0
101,Paid Search,SaaS,SMB,4,5,0,3,54,2,0
102,Outbound,SaaS,Mid-Market,3,6,0,2,2,0,0
103,Organic,Healthcare,Enterprise,4,7,0,2,41,3,1
104,Paid Search,Retail,SMB,5,8,0,5,32,4,0
105,Organic,Retail,SMB,4,10,1,2,53,1,0
106,Webinar,Healthcare,SMB,5,3,0,1,27,2,0
107,Paid Search,Healthcare,Mid-Market,6,7,0,3,51,0,0
108,Paid Search,Manufacturing,Mid-Market,2,4,1,3,6,3,1
109,Paid Search,SaaS,Mid-Market,4,7,0,4,2,1,1
110,Webinar,Manufacturing,Enterprise,2,8,1,3,18,4,1
111,Paid Search,Healthcare,SMB,2,7,0,1,47,1,0
112,Organic,Finance,SMB,7,6,0,1,27,1,0
113,Webinar,Retail,Mid-Market,8,6,0,0,55,1,1
114,Paid Search,Healthcare,Mid-Market,10,2,0,5,60,2,0
115,Organic,Healthcare,Mid-Market,5,4,0,2,18,4,0
116,Organic,Healthcare,Mid-Market,4,6,0,4,46,1,1
117,Referral,SaaS,SMB,4,4,0,1,21,3,1
118,Outbound,Healthcare,Enterprise,4,4,0,2,2,2,0
119,Paid Search,Retail,Mid-Market,4,4,1,5,24,1,1
120,Paid Search,Finance,Mid-Market,5,7,0,5,11,2,0
121,Referral,Retail,Mid-Market,4,7,0,3,26,2,0
122,Outbound,Manufacturing,SMB,5,9,0,3,4,1,0
123,Outbound,Manufacturing,SMB,7,4,0,4,1,3,0
124,Paid Search,Manufacturing,Enterprise,3,3,0,3,41,0,0
125,Paid Search,Healthcare,SMB,6,8,0,4,44,2,0
126,Paid Search,SaaS,Mid-Market,5,6,0,1,7,2,0
127,Organic,SaaS,SMB,3,5,0,2,12,2,0
128,Webinar,Healthcare,Mid-Market,5,8,1,4,4,2,1
129,Outbound,Finance,Mid-Market,3,9,0,4,3,4,1
130,Paid Search,Manufacturing,Enterprise,3,4,1,5,35,2,1
131,Webinar,Manufacturing,SMB,3,5,0,2,55,4,0
132,Webinar,Healthcare,Enterprise,4,5,0,2,38,4,0
133,Paid Search,Retail,SMB,5,5,1,1,24,0,0
134,Outbound,Retail,SMB,7,4,0,3,55,3,0
135,Outbound,Retail,Enterprise,4,12,0,3,46,3,0
136,Outbound,Manufacturing,SMB,6,7,1,3,5,3,1
137,Paid Search,SaaS,SMB,4,4,0,2,13,2,1
138,Organic,Finance,SMB,1,10,0,2,10,4,0
139,Webinar,Retail,SMB,3,5,1,3,14,1,0
140,Outbound,Retail,SMB,4,6,0,3,47,3,0
141,Referral,Healthcare,Mid-Market,4,10,0,2,58,3,1
142,Paid Search,Retail,Mid-Market,4,2,0,2,30,1,0
143,Outbound,Retail,Enterprise,3,4,0,5,34,2,1
144,Outbound,Retail,SMB,4,2,0,3,13,0,0
145,Paid Search,Finance,Mid-Market,5,4,1,0,40,4,0
146,Outbound,Manufacturing,Mid-Market,4,3,1,3,7,1,1
147,Paid Search,Retail,Mid-Market,4,4,0,1,58,0,0
148,Organic,SaaS,Mid-Market,4,12,0,3,21,3,1
149,Organic,Finance,Enterprise,0,6,0,2,28,1,0
150,Paid Search,Finance,Mid-Market,6,5,0,2,56,1,0
151,Paid Search,Retail,SMB,4,4,1,1,35,4,0
152,Organic,Finance,SMB,5,6,0,3,48,3,0
153,Organic,Healthcare,SMB,3,4,0,1,35,2,0
154,Webinar,Finance,Mid-Market,10,4,0,4,43,0,0
155,Organic,Retail,Mid-Market,5,4,1,8,19,1,1
156,Organic,Retail,SMB,6,7,0,2,9,2,0
157,Outbound,Manufacturing,Mid-Market,3,6,0,4,9,3,0
158,Organic,Healthcare,SMB,10,8,0,6,37,2,1
159,Paid Search,Retail,SMB,5,9,0,3,47,2,0
160,Organic,Retail,Enterprise,7,10,0,2,51,3,1
161,Referral,Retail,SMB,4,3,0,1,22,4,0
162,Organic,Healthcare,SMB,3,8,0,1,10,3,0
163,Webinar,Manufacturing,Mid-Market,3,4,0,3,31,0,0
164,Organic,SaaS,SMB,3,4,0,3,15,2,0
165,Outbound,SaaS,Mid-Market,1,10,0,2,45,2,0
166,Referral,Retail,SMB,5,7,0,0,7,3,0
167,Paid Search,Manufacturing,SMB,5,6,0,1,18,0,0
168,Paid Search,Healthcare,Mid-Market,6,3,0,4,20,2,0
169,Paid Search,Retail,SMB,4,5,0,3,7,3,0
170,Paid Search,Healthcare,SMB,2,10,0,4,32,2,0
171,Outbound,SaaS,Enterprise,5,7,0,1,28,1,0
172,Paid Search,Retail,Enterprise,6,5,0,3,59,2,1
173,Paid Search,Manufacturing,Enterprise,5,9,0,3,54,1,0
174,Webinar,Manufacturing,Enterprise,6,5,0,4,13,0,0
175,Organic,SaaS,SMB,7,4,0,1,26,1,0
176,Organic,Manufacturing,Mid-Market,1,5,0,2,12,0,0
177,Outbound,SaaS,SMB,1,4,0,2,17,3,0
178,Referral,Healthcare,Mid-Market,2,5,0,2,33,3,0
179,Paid Search,Retail,Enterprise,5,9,0,3,36,3,1
180,Outbound,SaaS,SMB,3,3,1,2,52,3,0
181,Referral,Finance,SMB,6,6,0,3,39,1,1
182,Paid Search,Finance,Mid-Market,2,3,0,2,28,1,0
183,Organic,SaaS,SMB,2,4,1,4,53,2,0
184,Referral,SaaS,SMB,3,6,1,2,3,3,1
185,Paid Search,Finance,SMB,8,8,0,2,47,4,0
186,Referral,Finance,Mid-Market,4,7,0,1,34,1,0
187,Paid Search,Finance,Enterprise,4,5,0,3,11,1,0
188,Referral,Retail,SMB,4,7,0,3,31,1,1
189,Paid Search,SaaS,Mid-Market,3,5,1,1,3,2,1
190,Paid Search,Retail,Mid-Market,3,6,0,3,23,1,0
191,Organic,Retail,SMB,6,7,0,2,19,4,1
192,Organic,Finance,Mid-Market,4,4,0,4,20,4,1
193,Paid Search,Finance,SMB,1,6,0,2,46,3,0
194,Outbound,Retail,Enterprise,4,13,0,1,18,0,0
195,Referral,SaaS,SMB,5,9,0,3,28,1,1
196,Organic,SaaS,SMB,4,8,0,0,56,1,0
197,Referral,Finance,SMB,11,8,0,1,36,3,0
198,Paid Search,SaaS,SMB,6,6,0,1,59,1,0
199,Organic,Finance,SMB,2,6,0,8,34,2,0
200,Paid Search,SaaS,SMB,4,8,0,2,14,2,0
201,Organic,Finance,Mid-Market,8,9,1,3,46,0,0
202,Webinar,Healthcare,Mid-Market,4,4,0,3,15,1,0
203,Webinar,Retail,SMB,6,6,0,0,46,1,0
204,Paid Search,Retail,SMB,7,4,0,4,58,0,1
205,Webinar,Manufacturing,SMB,3,7,0,2,43,2,0
206,Paid Search,Healthcare,SMB,4,8,0,5,20,0,0
207,Outbound,Finance,Enterprise,2,10,0,5,6,1,1
208,Webinar,Healthcare,Mid-Market,3,7,0,6,60,3,0
209,Paid Search,Finance,Mid-Market,1,2,0,5,50,1,0
210,Paid Search,SaaS,SMB,4,6,0,6,22,5,1
211,Paid Search,Retail,Enterprise,3,13,0,5,6,2,0
212,Referral,SaaS,Enterprise,3,6,0,2,46,2,0
213,Organic,Retail,Mid-Market,4,6,0,1,33,2,0
214,Organic,Retail,SMB,4,6,1,0,7,2,1
215,Paid Search,Finance,SMB,6,7,0,0,18,0,0
216,Referral,Retail,Mid-Market,3,9,0,4,55,3,0
217,Organic,Finance,Enterprise,3,8,1,2,10,2,1
218,Outbound,Finance,Enterprise,9,8,0,3,42,1,0
219,Organic,Manufacturing,Enterprise,7,5,1,1,25,1,0
220,Webinar,Healthcare,Enterprise,7,3,0,6,25,0,0
221,Organic,Healthcare,SMB,3,4,0,5,58,2,0
222,Referral,Manufacturing,Enterprise,6,8,1,5,32,3,1
223,Organic,Retail,SMB,0,2,0,3,30,1,1
224,Referral,Manufacturing,SMB,2,12,0,4,46,3,1
225,Organic,Finance,Mid-Market,1,3,0,2,14,1,0
226,Referral,Healthcare,Mid-Market,5,7,0,1,54,2,0
227,Organic,Healthcare,SMB,5,2,0,9,43,1,0
228,Referral,Finance,Mid-Market,4,8,0,3,5,3,1
229,Organic,SaaS,Enterprise,3,6,0,4,23,3,0
230,Outbound,SaaS,SMB,4,3,0,4,8,9,1
231,Referral,Healthcare,SMB,4,6,0,4,46,1,0
232,Paid Search,Finance,Enterprise,2,5,0,3,31,2,0
233,Organic,Manufacturing,SMB,4,4,0,4,43,4,1
234,Paid Search,SaaS,Mid-Market,2,11,0,1,21,0,1
235,Outbound,Manufacturing,SMB,2,5,1,5,12,0,0
236,Paid Search,Finance,Enterprise,5,11,1,4,26,1,1
237,Outbound,SaaS,SMB,3,3,0,1,41,2,0
238,Organic,Healthcare,Enterprise,1,10,0,4,20,5,1
239,Paid Search,Healthcare,Enterprise,9,7,0,5,50,1,0
240,Outbound,Finance,Mid-Market,3,7,0,3,21,0,1
241,Paid Search,SaaS,Mid-Market,1,7,0,2,36,1,1
242,Organic,SaaS,Enterprise,3,9,0,4,46,2,1
243,Webinar,Healthcare,Enterprise,5,9,0,2,51,2,0
244,Webinar,Manufacturing,Enterprise,2,5,0,5,19,0,0
245,Organic,SaaS,SMB,4,6,0,4,54,2,0
246,Referral,Finance,SMB,5,6,0,2,36,0,0
247,Outbound,Finance,Mid-Market,5,4,0,1,53,1,0
248,Paid Search,Manufacturing,SMB,7,10,0,3,40,3,0
249,Organic,SaaS,SMB,1,7,0,5,9,2,0
250,Outbound,Retail,Mid-Market,5,8,0,4,33,2,0
251,Paid Search,Retail,Enterprise,6,12,0,0,32,0,0
252,Referral,SaaS,SMB,5,9,0,2,16,4,0
253,Webinar,Finance,SMB,6,4,0,5,28,1,1
254,Organic,SaaS,SMB,7,3,0,1,53,2,0
255,Organic,Manufacturing,SMB,4,6,0,2,44,1,0
256,Webinar,Retail,Enterprise,4,7,1,4,4,1,1
257,Webinar,SaaS,Mid-Market,4,7,0,2,32,1,0
258,Paid Search,Finance,Mid-Market,2,7,0,0,22,0,0
259,Referral,SaaS,Mid-Market,2,5,0,5,54,1,1
260,Outbound,Healthcare,Mid-Market,7,6,1,1,43,3,0
261,Referral,Retail,Mid-Market,6,6,0,5,28,3,1
262,Outbound,Manufacturing,Enterprise,5,6,0,3,55,2,1
263,Webinar,SaaS,Mid-Market,2,10,0,1,12,2,0
264,Referral,Retail,SMB,1,10,0,5,12,2,0
265,Paid Search,Finance,Enterprise,2,4,0,2,49,1,0
266,Paid Search,Finance,SMB,4,5,0,2,26,2,1
267,Paid Search,SaaS,Mid-Market,4,10,0,1,7,2,0
268,Paid Search,Retail,Mid-Market,2,7,0,3,54,2,0
269,Referral,Healthcare,SMB,3,3,0,2,54,3,0
270,Organic,Healthcare,SMB,1,3,0,0,54,2,1
271,Organic,Healthcare,Enterprise,3,5,0,3,9,4,1
272,Referral,SaaS,Mid-Market,3,3,1,4,11,0,0
273,Referral,Healthcare,Mid-Market,2,7,1,3,23,1,1
274,Paid Search,SaaS,Mid-Market,6,3,1,2,37,1,0
275,Organic,SaaS,SMB,6,7,0,3,23,0,0
276,Organic,Retail,SMB,4,13,0,3,7,3,0
277,Outbound,SaaS,Enterprise,2,6,0,4,25,1,0
278,Paid Search,Manufacturing,SMB,1,3,0,4,43,1,0
279,Organic,Retail,SMB,1,8,1,1,58,2,0
280,Organic,Manufacturing,Enterprise,3,6,0,4,12,4,1
281,Webinar,Healthcare,Mid-Market,4,7,1,4,49,1,1
282,Organic,Manufacturing,Mid-Market,7,6,0,6,54,1,0
283,Paid Search,Retail,SMB,10,10,0,2,52,4,0
284,Paid Search,Finance,Mid-Market,2,9,1,1,5,1,1
285,Referral,SaaS,Mid-Market,5,9,0,3,44,0,0
286,Outbound,SaaS,SMB,3,7,0,3,49,2,1
287,Referral,Healthcare,Mid-Market,4,7,0,2,14,2,0
288,Organic,Retail,Enterprise,4,7,0,0,56,2,1
289,Webinar,Healthcare,Enterprise,3,4,0,3,13,2,0
290,Webinar,Finance,SMB,2,6,0,0,26,5,0
291,Webinar,SaaS,Mid-Market,2,3,0,4,38,2,0
292,Organic,Retail,SMB,10,4,0,8,1,4,1
293,Outbound,Manufacturing,SMB,3,7,0,0,43,1,0
294,Referral,Manufacturing,Enterprise,5,10,0,3,52,2,1
295,Referral,Manufacturing,SMB,6,4,0,1,50,1,0
296,Referral,SaaS,SMB,2,6,1,3,38,0,1
297,Referral,Finance,SMB,7,8,0,1,17,4,1
298,Paid Search,SaaS,Mid-Market,2,5,0,2,30,0,0
299,Organic,Healthcare,Mid-Market,4,9,0,2,24,1,0
300,Referral,Finance,Mid-Market,3,6,0,4,30,1,0
301,Referral,Manufacturing,Mid-Market,5,4,1,4,50,4,1
302,Referral,Healthcare,SMB,7,8,0,1,39,3,0
303,Paid Search,Finance,SMB,4,2,0,2,18,1,0
304,Paid Search,Finance,SMB,7,4,0,4,38,1,1
305,Webinar,Manufacturing,SMB,3,8,1,2,21,2,1
306,Referral,Healthcare,SMB,5,6,0,0,7,0,0
307,Outbound,Manufacturing,Mid-Market,4,5,1,3,59,1,1
308,Paid Search,SaaS,Mid-Market,5,2,1,4,42,0,1
309,Referral,SaaS,SMB,4,12,0,1,15,2,1
310,Paid Search,Finance,SMB,7,5,0,1,47,2,0
311,Referral,SaaS,Mid-Market,3,8,0,3,16,3,1
312,Organic,Finance,SMB,4,13,1,5,44,1,1
313,Referral,Manufacturing,SMB,2,8,0,6,12,3,0
314,Webinar,Healthcare,SMB,1,4,1,3,53,3,0
315,Webinar,Finance,Enterprise,6,5,0,3,8,1,0
316,Referral,Finance,Mid-Market,3,7,1,0,25,0,0
317,Paid Search,Healthcare,SMB,8,5,0,4,52,2,0
318,Organic,Healthcare,SMB,3,8,0,2,14,5,0
319,Paid Search,Finance,SMB,7,5,1,7,36,4,1
320,Organic,SaaS,SMB,4,10,0,3,21,0,0
321,Webinar,Manufacturing,SMB,4,7,0,6,9,1,0
322,Outbound,Manufacturing,Enterprise,6,8,1,4,48,2,0
323,Paid Search,Healthcare,SMB,3,9,0,2,36,3,1
324,Organic,SaaS,Mid-Market,2,3,0,2,54,1,0
325,Referral,Retail,Enterprise,6,12,0,3,40,3,1
326,Paid Search,Manufacturing,Enterprise,3,13,1,3,32,1,0
327,Outbound,SaaS,Enterprise,0,6,1,4,46,0,1
328,Webinar,SaaS,Enterprise,7,9,0,4,60,2,1
329,Organic,Healthcare,Mid-Market,2,3,0,1,19,0,0
330,Referral,Healthcare,Enterprise,4,6,0,7,7,0,1
331,Paid Search,SaaS,Mid-Market,2,7,0,4,38,3,0
332,Webinar,Finance,Mid-Market,5,6,0,3,45,2,0
333,Referral,Retail,SMB,5,5,0,1,14,3,1
334,Organic,Healthcare,SMB,2,2,0,5,13,1,0
335,Paid Search,SaaS,SMB,7,5,0,3,1,7,1
336,Outbound,Finance,SMB,3,12,0,1,1,3,1
337,Referral,SaaS,SMB,6,6,0,0,2,0,1
338,Paid Search,Finance,Mid-Market,4,5,0,1,6,2,0
339,Organic,SaaS,SMB,1,9,0,4,49,1,0
340,Webinar,Finance,Mid-Market,4,5,0,2,53,6,0
341,Organic,Healthcare,Mid-Market,5,4,0,4,60,3,0
342,Referral,Manufacturing,SMB,4,8,0,1,49,1,1
343,Outbound,Healthcare,Mid-Market,1,3,0,5,41,2,0
344,Webinar,Healthcare,SMB,4,6,0,1,55,1,0
345,Organic,SaaS,SMB,3,9,0,5,43,1,1
346,Paid Search,Finance,Enterprise,5,10,0,6,47,2,1
347,Outbound,Retail,SMB,2,4,0,5,16,0,0
348,Paid Search,Finance,SMB,6,5,0,4,8,4,0
349,Referral,Healthcare,Mid-Market,4,11,0,4,30,3,1
350,Outbound,Finance,Mid-Market,7,9,1,2,55,4,1
351,Paid Search,Retail,Enterprise,6,8,0,2,17,2,0
352,Organic,Healthcare,Mid-Market,4,5,0,6,9,2,0
353,Webinar,Retail,SMB,3,6,0,2,56,0,0
354,Outbound,SaaS,Enterprise,6,8,0,2,37,2,0
355,Paid Search,SaaS,Enterprise,6,7,0,2,35,0,0
356,Referral,Manufacturing,SMB,4,7,0,3,39,0,1
357,Webinar,Manufacturing,SMB,6,4,0,1,45,0,0
358,Organic,Healthcare,Mid-Market,7,4,0,3,10,0,1
359,Referral,Healthcare,Enterprise,8,5,0,7,55,0,0
360,Paid Search,Retail,SMB,5,8,0,3,18,1,1
361,Referral,SaaS,SMB,3,4,0,0,57,5,0
362,Webinar,Finance,Mid-Market,7,5,0,5,42,1,0
363,Organic,Retail,SMB,5,7,0,1,57,1,0
364,Organic,Healthcare,Mid-Market,3,5,1,1,53,2,0
365,Referral,Healthcare,SMB,4,4,1,3,55,1,0
366,Outbound,Retail,SMB,5,5,1,3,8,2,0
367,Organic,Retail,SMB,0,6,0,4,19,0,0
368,Outbound,Healthcare,Mid-Market,6,4,0,4,11,1,0
369,Outbound,Retail,SMB,5,4,0,3,46,2,0
370,Webinar,Retail,Mid-Market,3,2,0,2,22,5,0
371,Referral,Manufacturing,Enterprise,6,8,0,4,56,0,1
372,Referral,Manufacturing,SMB,5,9,0,7,45,2,0
373,Referral,Manufacturing,Mid-Market,2,7,0,4,19,3,1
374,Webinar,Manufacturing,Mid-Market,2,7,0,4,60,1,0
375,Organic,Healthcare,Enterprise,6,2,0,3,30,1,0
376,Webinar,Manufacturing,SMB,3,4,1,4,52,1,1
377,Organic,Finance,Mid-Market,4,6,1,3,58,1,1
378,Referral,Finance,SMB,5,7,0,1,36,2,0
379,Paid Search,Manufacturing,SMB,3,5,0,0,2,2,0
380,Referral,Retail,SMB,5,2,0,3,46,1,0
381,Paid Search,Retail,Enterprise,1,4,0,4,14,3,0
382,Organic,Healthcare,Mid-Market,3,7,0,7,12,3,0
383,Referral,Manufacturing,Enterprise,4,6,0,0,28,2,0
384,Paid Search,SaaS,Enterprise,3,5,1,7,14,1,0
385,Referral,Finance,Enterprise,5,10,0,2,44,2,0
386,Paid Search,Healthcare,SMB,5,3,0,2,36,1,0
387,Referral,SaaS,SMB,5,5,0,2,57,4,1
388,Webinar,SaaS,Mid-Market,4,3,0,2,10,1,1
389,Organic,Healthcare,Enterprise,0,9,0,5,56,3,1
390,Referral,Healthcare,Mid-Market,2,6,0,2,14,4,1
391,Outbound,Manufacturing,Mid-Market,7,3,0,4,46,2,0
392,Outbound,Retail,Mid-Market,4,6,0,1,3,3,0
393,Organic,Manufacturing,SMB,2,8,0,3,59,1,0
394,Paid Search,Healthcare,Mid-Market,6,6,0,5,23,3,0
395,Webinar,Healthcare,SMB,2,5,0,3,45,1,0
396,Paid Search,Retail,Mid-Market,5,6,0,5,10,1,0
397,Webinar,Healthcare,SMB,4,3,0,2,27,0,0
398,Organic,Finance,Mid-Market,1,6,0,3,20,1,0
399,Paid Search,Manufacturing,Enterprise,3,5,0,4,8,3,0
400,Organic,SaaS,Mid-Market,9,4,0,2,33,2,1
401,Webinar,SaaS,SMB,2,5,0,0,5,2,1
402,Organic,Finance,Enterprise,7,7,0,4,2,2,1
403,Organic,SaaS,Mid-Market,3,4,0,2,29,0,0
404,Referral,Manufacturing,SMB,5,4,1,1,30,2,1
405,Organic,Retail,Mid-Market,7,6,0,1,51,2,0
406,Paid Search,SaaS,SMB,5,4,0,6,50,4,1
407,Referral,Finance,Mid-Market,3,2,0,3,52,3,0
408,Organic,Retail,Mid-Market,4,6,0,6,25,3,1
409,Webinar,Healthcare,Mid-Market,4,6,0,3,12,0,0
410,Webinar,Retail,SMB,1,12,0,0,47,1,0
411,Organic,Finance,SMB,3,10,0,5,33,2,0
412,Webinar,Healthcare,SMB,5,6,0,3,39,2,0
413,Referral,Finance,Mid-Market,2,2,0,7,34,2,0
414,Referral,Healthcare,SMB,2,5,0,1,48,2,0
415,Outbound,Healthcare,Mid-Market,7,7,0,3,45,1,0
416,Organic,Retail,SMB,3,9,0,2,7,1,0
417,Paid Search,SaaS,Mid-Market,4,8,0,2,60,0,0
418,Webinar,Manufacturing,Enterprise,5,3,1,1,36,1,0
419,Outbound,Manufacturing,Mid-Market,7,3,0,3,18,3,0
420,Paid Search,Healthcare,SMB,2,5,1,2,21,0,0
421,Referral,Retail,SMB,4,6,0,3,47,2,0
422,Paid Search,Finance,SMB,3,8,0,7,5,3,1
423,Paid Search,SaaS,Mid-Market,1,5,0,0,29,0,0
424,Referral,SaaS,Enterprise,5,8,0,9,5,1,1
425,Webinar,Healthcare,Enterprise,3,3,0,4,55,2,1
426,Referral,Manufacturing,Enterprise,5,3,0,0,16,2,0
427,Paid Search,Healthcare,SMB,2,9,0,1,24,4,0
428,Paid Search,Finance,Mid-Market,4,10,0,2,34,2,1
429,Webinar,Retail,Mid-Market,3,9,0,1,18,2,0
430,Organic,Finance,Enterprise,3,2,0,3,51,2,0
431,Organic,Finance,Enterprise,5,10,0,2,12,2,0
432,Paid Search,SaaS,Enterprise,6,7,0,2,29,2,0
433,Organic,SaaS,Mid-Market,2,5,0,6,15,3,0
434,Outbound,SaaS,Mid-Market,5,4,0,5,44,3,0
435,Outbound,SaaS,SMB,9,5,0,7,6,2,1
436,Referral,Manufacturing,SMB,3,1,0,2,58,1,1
437,Referral,SaaS,Enterprise,1,1,0,2,22,2,0
438,Referral,Healthcare,Enterprise,1,6,1,1,13,4,1
439,Organic,Manufacturing,Mid-Market,1,6,1,4,10,5,0
440,Paid Search,SaaS,SMB,7,10,0,3,38,2,1
